slug	title	heading	product	prompt	image_path
calendars-craft	CalendarsCraft - Premium Calendars	Precision Meets Innovation	Calendars	A clean premium product catalog photograph of Calendars, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/calendars-craft/image/item.png
calligraphy-ink-craft	CalligraphyInkCraft - Premium Calligraphy ink	Precision Meets Innovation	Calligraphy ink	A clean premium product catalog photograph of Calligraphy ink, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/calligraphy-ink-craft/image/item.png
calligraphy-sets-craft	CalligraphySetsCraft - Premium Calligraphy sets	Precision Meets Innovation	Calligraphy sets	A clean premium product catalog photograph of Calligraphy sets, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/calligraphy-sets-craft/image/item.png
calligraphycraft	CalligraphyCraft - Premium Calligraphy Pens	Write With Meets Character	Calligraphy Pens	A clean premium product catalog photograph of Calligraphy Pens, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/calligraphycraft/image/item.png
carbon-paper-craft	CarbonPaperCraft - Premium Carbon paper	Precision Meets Innovation	Carbon paper	A clean premium product catalog photograph of Carbon paper, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/carbon-paper-craft/image/item.png
carpenter-pencils-craft	CarpenterPencilsCraft - Premium Carpenter pencils	Precision Meets Innovation	Carpenter pencils	A clean premium product catalog photograph of Carpenter pencils, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/carpenter-pencils-craft/image/item.png
charcoal-pencils-craft	CharcoalPencilsCraft - Premium Charcoal pencils	Precision Meets Innovation	Charcoal pencils	A clean premium product catalog photograph of Charcoal pencils, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/charcoal-pencils-craft/image/item.png
clear-tape-craft	ClearTapeCraft - Premium Clear tape	Precision Meets Innovation	Clear tape	A clean premium product catalog photograph of Clear tape, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/clear-tape-craft/image/item.png
clipboards-craft	ClipboardsCraft - Premium Clipboards	Precision Meets Innovation	Clipboards	A clean premium product catalog photograph of Clipboards, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/clipboards-craft/image/item.png
colored-paper-craft	ColoredPaperCraft - Premium Colored paper	Precision Meets Innovation	Colored paper	A clean premium product catalog photograph of Colored paper, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/colored-paper-craft/image/item.png
colored-pencils-craft	ColoredPencilsCraft - Premium Colored pencils	Precision Meets Innovation	Colored pencils	A clean premium product catalog photograph of Colored pencils, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/colored-pencils-craft/image/item.png
compasses-craft	CompassesCraft - Premium Compasses	Precision Meets Innovation	Compasses	A clean premium product catalog photograph of Compasses, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/compasses-craft/image/item.png
copy-paper-craft	CopyPaperCraft - Premium Copy paper	Precision Meets Innovation	Copy paper	A clean premium product catalog photograph of Copy paper, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/copy-paper-craft/image/item.png
correction-fluid-craft	CorrectionFluidCraft - Premium Correction fluid	Precision Meets Innovation	Correction fluid	A clean premium product catalog photograph of Correction fluid, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/correction-fluid-craft/image/item.png
correction-pens-craft	CorrectionPensCraft - Premium Correction pens	Precision Meets Innovation	Correction pens	A clean premium product catalog photograph of Correction pens, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/correction-pens-craft/image/item.png
correction-tape-craft	CorrectionTapeCraft - Premium Correction tape	Precision Meets Innovation	Correction tape	A clean premium product catalog photograph of Correction tape, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/correction-tape-craft/image/item.png
craft-glue-craft	CraftGlueCraft - Premium Craft glue	Precision Meets Innovation	Craft glue	A clean premium product catalog photograph of Craft glue, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/craft-glue-craft/image/item.png
craft-paper-craft	CraftPaperCraft - Premium Craft paper	Precision Meets Innovation	Craft paper	A clean premium product catalog photograph of Craft paper, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/craft-paper-craft/image/item.png
craft-scissors-craft	CraftScissorsCraft - Premium Craft scissors	Precision Meets Innovation	Craft scissors	A clean premium product catalog photograph of Craft scissors, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/craft-scissors-craft/image/item.png
crayons-craft	CrayonsCraft - Premium Crayons	Precision Meets Innovation	Crayons	A clean premium product catalog photograph of Crayons, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/crayons-craft/image/item.png
desk-accessories-craft	DeskAccessoriesCraft - Premium Desk accessories	Precision Meets Innovation	Desk accessories	A clean premium product catalog photograph of Desk accessories, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/desk-accessories-craft/image/item.png
desk-calendars-craft	DeskCalendarsCraft - Premium Desk calendars	Precision Meets Innovation	Desk calendars	A clean premium product catalog photograph of Desk calendars, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/desk-calendars-craft/image/item.png
desk-gift-sets-craft	DeskGiftSetsCraft - Premium Desk gift sets	Precision Meets Innovation	Desk gift sets	A clean premium product catalog photograph of Desk gift sets, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/desk-gift-sets-craft/image/item.png
desk-organizers-craft	DeskOrganizersCraft - Premium Desk organizers	Precision Meets Innovation	Desk organizers	A clean premium product catalog photograph of Desk organizers, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/desk-organizers-craft/image/item.png
desk-pads-craft	DeskPadsCraft - Premium Desk pads	Precision Meets Innovation	Desk pads	A clean premium product catalog photograph of Desk pads, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/desk-pads-craft/image/item.png
diaries-and-planners-craft	DiariesAndPlannersCraft - Premium Diaries and planners	Precision Meets Innovation	Diaries and planners	A clean premium product catalog photograph of Diaries and planners, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/diaries-and-planners-craft/image/item.png
document-bags-craft	DocumentBagsCraft - Premium Document bags	Precision Meets Innovation	Document bags	A clean premium product catalog photograph of Document bags, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/document-bags-craft/image/item.png
document-folders-craft	DocumentFoldersCraft - Premium Document folders	Precision Meets Innovation	Document folders	A clean premium product catalog photograph of Document folders, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/document-folders-craft/image/item.png
document-wallets-craft	DocumentWalletsCraft - Premium Document wallets	Precision Meets Innovation	Document wallets	A clean premium product catalog photograph of Document wallets, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/document-wallets-craft/image/item.png
double-sided-tape-craft	DoubleSidedTapeCraft - Premium Double-sided tape	Precision Meets Innovation	Double-sided tape	A clean premium product catalog photograph of Double-sided tape, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/double-sided-tape-craft/image/item.png
drawing-charcoal-craft	DrawingCharcoalCraft - Premium Drawing charcoal	Precision Meets Innovation	Drawing charcoal	A clean premium product catalog photograph of Drawing charcoal, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/drawing-charcoal-craft/image/item.png
drawing-ink-craft	DrawingInkCraft - Premium Drawing ink	Precision Meets Innovation	Drawing ink	A clean premium product catalog photograph of Drawing ink, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/drawing-ink-craft/image/item.png
drawing-pads-craft	DrawingPadsCraft - Premium Drawing pads	Precision Meets Innovation	Drawing pads	A clean premium product catalog photograph of Drawing pads, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/drawing-pads-craft/image/item.png
envelopes-craft	EnvelopesCraft - Premium Envelopes	Precision Meets Innovation	Envelopes	A clean premium product catalog photograph of Envelopes, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/envelopes-craft/image/item.png
erasers-craft	ErasersCraft - Premium Erasers	Precision Meets Innovation	Erasers	A clean premium product catalog photograph of Erasers, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/erasers-craft/image/item.png
executive-notebooks-craft	ExecutiveNotebooksCraft - Premium Executive notebooks	Precision Meets Innovation	Executive notebooks	A clean premium product catalog photograph of Executive notebooks, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/executive-notebooks-craft/image/item.png
expanding-files-craft	ExpandingFilesCraft - Premium Expanding files	Precision Meets Innovation	Expanding files	A clean premium product catalog photograph of Expanding files, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/expanding-files-craft/image/item.png
file-labels-craft	FileLabelsCraft - Premium File labels	Precision Meets Innovation	File labels	A clean premium product catalog photograph of File labels, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/file-labels-craft/image/item.png
files-craft	FilesCraft - Premium Files	Precision Meets Innovation	Files	A clean premium product catalog photograph of Files, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/files-craft/image/item.png
finelinercraft	FinelinerCraft - Premium Fineliner Pens	Precision In Meets Every Line	Fineliner Pens	A clean premium product catalog photograph of Fineliner Pens, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/finelinercraft/image/item.png
flashcards-craft	FlashcardsCraft - Premium Flashcards	Precision Meets Innovation	Flashcards	A clean premium product catalog photograph of Flashcards, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/flashcards-craft/image/item.png
flexible-rulers-craft	FlexibleRulersCraft - Premium Flexible rulers	Precision Meets Innovation	Flexible rulers	A clean premium product catalog photograph of Flexible rulers, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/flexible-rulers-craft/image/item.png
folders-craft	FoldersCraft - Premium Folders	Precision Meets Innovation	Folders	A clean premium product catalog photograph of Folders, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/folders-craft/image/item.png
fountain-pen-ink-craft	FountainPenInkCraft - Premium Fountain pen ink	Precision Meets Innovation	Fountain pen ink	A clean premium product catalog photograph of Fountain pen ink, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/fountain-pen-ink-craft/image/item.png
fountaincraft	FountainCraft - Premium Fountain Pens	Make Every Meets Mark Matter	Fountain Pens	A clean premium product catalog photograph of Fountain Pens, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/fountaincraft/image/item.png
gelcraft	GelCraft - Premium Gel Pens	Color Your Meets Ideas	Gel Pens	A clean premium product catalog photograph of Gel Pens, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/gelcraft/image/item.png
geometry-sets-craft	GeometrySetsCraft - Premium Geometry sets	Precision Meets Innovation	Geometry sets	A clean premium product catalog photograph of Geometry sets, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/geometry-sets-craft/image/item.png
gift-pens-craft	GiftPensCraft - Premium Gift pens	Precision Meets Innovation	Gift pens	A clean premium product catalog photograph of Gift pens, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/gift-pens-craft/image/item.png
gift-tags-craft	GiftTagsCraft - Premium Gift tags	Precision Meets Innovation	Gift tags	A clean premium product catalog photograph of Gift tags, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/gift-tags-craft/image/item.png
glitter-craft	GlitterCraft - Premium Glitter	Precision Meets Innovation	Glitter	A clean premium product catalog photograph of Glitter, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/glitter-craft/image/item.png
glue-sticks-craft	GlueSticksCraft - Premium Glue sticks	Precision Meets Innovation	Glue sticks	A clean premium product catalog photograph of Glue sticks, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/glue-sticks-craft/image/item.png
graph-paper-craft	GraphPaperCraft - Premium Graph paper	Precision Meets Innovation	Graph paper	A clean premium product catalog photograph of Graph paper, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/graph-paper-craft/image/item.png
graphite-pencils-craft	GraphitePencilsCraft - Premium Graphite pencils	Precision Meets Innovation	Graphite pencils	A clean premium product catalog photograph of Graphite pencils, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/graphite-pencils-craft/image/item.png
greeting-cards-craft	GreetingCardsCraft - Premium Greeting cards	Precision Meets Innovation	Greeting cards	A clean premium product catalog photograph of Greeting cards, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/greeting-cards-craft/image/item.png
hardcover-notebooks-craft	HardcoverNotebooksCraft - Premium Hardcover notebooks	Precision Meets Innovation	Hardcover notebooks	A clean premium product catalog photograph of Hardcover notebooks, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/hardcover-notebooks-craft/image/item.png
highlightercraft	HighlighterCraft - Premium Highlighters	See What Meets Matters	Highlighters	A clean premium product catalog photograph of Highlighters, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/highlightercraft/image/item.png
hole-punches-craft	HolePunchesCraft - Premium Hole punches	Precision Meets Innovation	Hole punches	A clean premium product catalog photograph of Hole punches, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/hole-punches-craft/image/item.png
index-cards-craft	IndexCardsCraft - Premium Index cards	Precision Meets Innovation	Index cards	A clean premium product catalog photograph of Index cards, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/index-cards-craft/image/item.png
index-dividers-craft	IndexDividersCraft - Premium Index dividers	Precision Meets Innovation	Index dividers	A clean premium product catalog photograph of Index dividers, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/index-dividers-craft/image/item.png
ink-blotting-paper-craft	InkBlottingPaperCraft - Premium Ink blotting paper	Precision Meets Innovation	Ink blotting paper	A clean premium product catalog photograph of Ink blotting paper, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/ink-blotting-paper-craft/image/item.png
ink-cartridges-craft	InkCartridgesCraft - Premium Ink cartridges	Precision Meets Innovation	Ink cartridges	A clean premium product catalog photograph of Ink cartridges, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/ink-cartridges-craft/image/item.png
invitation-cards-craft	InvitationCardsCraft - Premium Invitation cards	Precision Meets Innovation	Invitation cards	A clean premium product catalog photograph of Invitation cards, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/invitation-cards-craft/image/item.png
invoice-books-craft	InvoiceBooksCraft - Premium Invoice books	Precision Meets Innovation	Invoice books	A clean premium product catalog photograph of Invoice books, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/invoice-books-craft/image/item.png
journals-craft	JournalsCraft - Premium Journals	Precision Meets Innovation	Journals	A clean premium product catalog photograph of Journals, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/journals-craft/image/item.png
leather-journals-craft	LeatherJournalsCraft - Premium Leather journals	Precision Meets Innovation	Leather journals	A clean premium product catalog photograph of Leather journals, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/leather-journals-craft/image/item.png
legal-pads-craft	LegalPadsCraft - Premium Legal pads	Precision Meets Innovation	Legal pads	A clean premium product catalog photograph of Legal pads, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/legal-pads-craft/image/item.png
letter-trays-craft	LetterTraysCraft - Premium Letter trays	Precision Meets Innovation	Letter trays	A clean premium product catalog photograph of Letter trays, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/letter-trays-craft/image/item.png
letter-writing-sets-craft	LetterWritingSetsCraft - Premium Letter-writing sets	Precision Meets Innovation	Letter-writing sets	A clean premium product catalog photograph of Letter-writing sets, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/letter-writing-sets-craft/image/item.png
letterheads-craft	LetterheadsCraft - Premium Letterheads	Precision Meets Innovation	Letterheads	A clean premium product catalog photograph of Letterheads, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/letterheads-craft/image/item.png
lever-arch-files-craft	LeverArchFilesCraft - Premium Lever-arch files	Precision Meets Innovation	Lever-arch files	A clean premium product catalog photograph of Lever-arch files, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/lever-arch-files-craft/image/item.png
lined-paper-craft	LinedPaperCraft - Premium Lined paper	Precision Meets Innovation	Lined paper	A clean premium product catalog photograph of Lined paper, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/lined-paper-craft/image/item.png
liquid-glue-craft	LiquidGlueCraft - Premium Liquid glue	Precision Meets Innovation	Liquid glue	A clean premium product catalog photograph of Liquid glue, the actual object clearly visible and centered, single item or small natural set, realistic materials and proportions, soft studio lighting, warm off-white craft-paper background, subtle shadow, no text, no logos, no watermark, square composition	projects/liquid-glue-craft/image/item.png
